left,right
how are you,i am fine
do you know him,no i do not
how about you,yes please
i wannna be the guy,arre you ok
she looks so sleepy,i think so
i have a pen,i do not know
i have an apple,you are newton
she sings a song,that seems to be beautiful
she is a girl,it is happy
left,right
how are you,i am fine
do you know him,no i do not
how about you,yes please
i wannna be the guy,arre you ok
she looks so sleepy,i think so
i have a pen,i do not know
i have an apple,you are newton
she sings a song,that seems to be beautiful
she is a girl,it is happy
